Pos;Age;G;MP;AST;PTS;FG;FGA
SF;21;19;9.2;0.6;3.2;1.2;2.5
SF;27;9;17.3;0.9;3.4;1.3;3.9
SG;25;3;5.3;0;2.7;1.3;1.3
PG;33;46;34.9;7.8;18.5;7;16.2
PG;21;26;26.7;2.5;12.5;4.5;10.2
SG;27;41;30.4;5.5;14.5;5;11.9
C;32;36;16.4;0.3;8.2;3.3;5.2
SG;22;13;5.9;0.3;2.5;0.8;1.8
SG;23;27;21.8;1.1;7.3;2.7;5.7
SF;26;42;31.5;2;18.3;6.8;14.1
PG;23;1;5;0;2;1;1
PG;22;2;6;1;4;1;1.5
PF;23;42;22.8;1;7.2;2.4;5
SF;27;37;20.5;1.9;7;2.8;6.1
PG;35;31;14.4;1.6;6.7;2.4;6.3
PF;20;5;25;0.6;6.6;2.6;4.6
C;24;36;29.5;1.8;9.8;4.3;5.9
SF;20;29;20.1;0.8;6.5;2.5;6.1
PF;25;3;16;1.3;8;2.7;3.7
SF;25;30;10.7;0.8;3.1;1.1;2.4
SF;25;32;11.4;1.2;3.8;1.6;3.5
PG;23;2;3.5;1;1;0;1
C;26;44;30.8;2.2;17.5;6.4;13.4
SF;22;8;1.9;0;0.6;0.1;0.5
SG;29;40;17.8;2.5;4.4;1.6;3.4
PG;23;2;3.5;0;2.5;1;1.5
PF;23;1;1;1;0;0;0
PF;33;24;13.9;2.3;5.8;2.7;4.8
PG;23;41;34.8;9.4;27.9;9.3;20.5
C;23;36;15.1;1.1;6.4;2.7;5.2
C;29;27;13.1;0.8;5.2;1.9;3.3
C;24;43;24.6;1.2;9.8;3.8;5.7
